func_input_path,eventTSV_path,mask_path
sub-01/func/sub-01_task-taskname_run-01_bold_preprocfinal.nii.gz,sub-01/func/sub-01_task-taskname_run-01_events.tsv,mask_unionall.nii.gz
sub-01/func/sub-01_task-taskname_run-02_bold_preprocfinal.nii.gz,sub-01/func/sub-01_task-taskname_run-02_events.tsv,mask_unionall.nii.gz
sub-01/func/sub-01_task-taskname_run-03_bold_preprocfinal.nii.gz,sub-01/func/sub-01_task-taskname_run-03_events.tsv,mask_unionall.nii.gz
sub-01/func/sub-01_task-taskname_run-04_bold_preprocfinal.nii.gz,sub-01/func/sub-01_task-taskname_run-04_events.tsv,mask_unionall.nii.gz
sub-01/func/sub-01_task-taskname_run-05_bold_preprocfinal.nii.gz,sub-01/func/sub-01_task-taskname_run-05_events.tsv,mask_unionall.nii.gz
sub-02/func/sub-02_task-taskname_run-01_bold_preprocfinal.nii.gz,sub-02/func/sub-02_task-taskname_run-01_events.tsv,mask_unionall.nii.gz
sub-02/func/sub-02_task-taskname_run-02_bold_preprocfinal.nii.gz,sub-02/func/sub-02_task-taskname_run-02_events.tsv,mask_unionall.nii.gz
sub-02/func/sub-02_task-taskname_run-03_bold_preprocfinal.nii.gz,sub-02/func/sub-02_task-taskname_run-03_events.tsv,mask_unionall.nii.gz
sub-02/func/sub-02_task-taskname_run-04_bold_preprocfinal.nii.gz,sub-02/func/sub-02_task-taskname_run-04_events.tsv,mask_unionall.nii.gz
sub-02/func/sub-02_task-taskname_run-05_bold_preprocfinal.nii.gz,sub-02/func/sub-02_task-taskname_run-05_events.tsv,mask_unionall.nii.gz
